poverty_female,poverty_male,poverty_family,Year
5905.0,4867.0,2426.0,2018
10077.0,9534.0,4527.0,2018
13467.0,10870.0,6439.0,2018
2110.0,2053.0,781.0,2018
6074.0,5650.0,2614.0,2018
15665.0,12882.0,6576.0,2018
2887.0,2501.0,1221.0,2018
6488.0,5391.0,2588.0,2018
1819.0,1490.0,660.0,2018
11975.0,10642.0,4211.0,2018
6484.0,6035.0,2890.0,2018
8727.0,7426.0,3997.0,2018
580.0,440.0,242.0,2018
6092.0,4664.0,2411.0,2018
4929.0,4362.0,2219.0,2018
7480.0,6807.0,3133.0,2018
6850.0,6085.0,2626.0,2018
1821.0,1711.0,709.0,2018
4319.0,3399.0,1885.0,2018
925.0,695.0,369.0,2018
3771.0,3396.0,1424.0,2018
5596.0,4925.0,2421.0,2018
9971.0,8746.0,4588.0,2018
3741.0,2851.0,1409.0,2018
11284.0,10525.0,5111.0,2018
4706.0,4229.0,2230.0,2018
7661.0,6697.0,3135.0,2018
7306.0,6625.0,3734.0,2018
2503.0,2256.0,1045.0,2018
10018.0,8208.0,4615.0,2018
11297.0,9787.0,5190.0,2018
3309.0,2693.0,1127.0,2018
7558.0,5994.0,2958.0,2018
12930.0,10911.0,5291.0,2018
8887.0,8493.0,3362.0,2018
8131.0,7559.0,3278.0,2018
11174.0,9689.0,5269.0,2018
7785.0,6424.0,3159.0,2018
3008.0,2872.0,1388.0,2018
1535.0,1203.0,826.0,2018
8773.0,7853.0,3553.0,2018
13207.0,11400.0,5139.0,2018
0.0,24.0,0.0,2018
9171.0,8248.0,3246.0,2018
6903.0,6516.0,3036.0,2018
2722.0,2374.0,1203.0,2018
5766.0,5023.0,2570.0,2018
2832.0,2532.0,1266.0,2018
5673.0,4717.0,2356.0,2018
999.0,944.0,471.0,2018
7274.0,6009.0,3239.0,2018
5341.0,4057.0,2199.0,2018
6849.0,5829.0,2513.0,2018
6673.0,6482.0,2782.0,2018
6242.0,5901.0,2805.0,2018
4667.0,4567.0,1783.0,2018
18570.0,14640.0,7919.0,2018
9757.0,7447.0,3671.0,2018
10210.0,8191.0,4415.0,2018
12443.0,9520.0,4834.0,2018
9144.0,8214.0,4006.0,2018
3585.0,3223.0,1600.0,2018
3088.0,2333.0,1249.0,2018
11205.0,9556.0,4869.0,2018
7297.0,5765.0,3099.0,2018
8310.0,7073.0,3423.0,2018
617.0,455.0,259.0,2018
1225.0,980.0,476.0,2018
10764.0,8683.0,3890.0,2018
5979.0,4795.0,2507.0,2018
9122.0,7786.0,4041.0,2018
5549.0,4843.0,2357.0,2018
2026.0,1551.0,547.0,2018
5912.0,5239.0,2491.0,2018
9611.0,8613.0,3747.0,2018
9253.0,9050.0,3843.0,2018
8818.0,7384.0,3869.0,2018
6343.0,4930.0,2519.0,2018
4714.0,3569.0,1954.0,2018
315.0,226.0,95.0,2018
11035.0,8994.0,4276.0,2018
7345.0,6112.0,2672.0,2018
2336.0,2193.0,970.0,2018
5752.0,5152.0,2151.0,2018
10095.0,8901.0,4377.0,2018
10741.0,9221.0,4528.0,2018
22.0,24.0,22.0,2018
11688.0,9690.0,4419.0,2018
8837.0,7934.0,3662.0,2018
11579.0,9261.0,4994.0,2018
1348.0,1135.0,412.0,2018
0.0,13.0,0.0,2018
2353.0,1934.0,820.0,2018
1432.0,961.0,550.0,2018
1371.0,699.0,374.0,2018
1263.0,1046.0,505.0,2018
4105.0,2718.0,1661.0,2018
8669.0,7006.0,3593.0,2018
5045.0,4463.0,2013.0,2018
4036.0,2589.0,1335.0,2018
3045.0,2349.0,1211.0,2018
8941.0,5913.0,3546.0,2018
7248.0,6090.0,3126.0,2018
13413.0,9946.0,5560.0,2018
2306.0,1984.0,508.0,2018
16287.0,12077.0,6907.0,2018
1801.0,1630.0,733.0,2018
0.0,0.0,0.0,2018
0.0,0.0,0.0,2018
13597.0,11329.0,5335.0,2018
0.0,0.0,0.0,2018
0.0,0.0,0.0,2018
2259.0,1875.0,866.0,2018
10852.0,9885.0,4824.0,2018
14238.0,10652.0,6152.0,2018
8247.0,5987.0,3841.0,2018
8355.0,5716.0,3324.0,2018
9.0,14.0,0.0,2018
5532.0,3939.0,2219.0,2018
5479.0,4851.0,2459.0,2018
1979.0,1657.0,757.0,2018
2059.0,1328.0,691.0,2018
402.0,133.0,35.0,2018
4339.0,3149.0,1668.0,2018
5307.0,4695.0,2128.0,2018
10387.0,7747.0,4055.0,2018
1546.0,1045.0,503.0,2018
2955.0,2174.0,1239.0,2018
6966.0,4556.0,2990.0,2018
5971.0,4351.0,2596.0,2018
8870.0,6142.0,3827.0,2018
861.0,652.0,209.0,2018
3305.0,3832.0,428.0,2018
59.0,6.0,0.0,2018
203.0,130.0,29.0,2018
351.0,433.0,132.0,2018
40.0,20.0,13.0,2018
22.0,40.0,11.0,2018
47.0,60.0,22.0,2018
88.0,57.0,22.0,2018
35.0,17.0,8.0,2018
2498.0,2105.0,1045.0,2018
1777.0,1420.0,661.0,2018
245.0,352.0,0.0,2018
49.0,37.0,11.0,2018
821.0,776.0,226.0,2018
464.0,187.0,97.0,2018
59.0,34.0,27.0,2018
449.0,294.0,133.0,2018
114.0,156.0,29.0,2018
16.0,4.0,0.0,2018
113.0,126.0,33.0,2018
72.0,96.0,23.0,2018
182.0,117.0,30.0,2018
89.0,146.0,37.0,2018
33.0,38.0,0.0,2018
106.0,35.0,20.0,2018
49.0,37.0,16.0,2018
6325.0,5305.0,2450.0,2018
117.0,90.0,40.0,2018
55.0,289.0,34.0,2018
56.0,63.0,18.0,2018
667.0,727.0,265.0,2018
313.0,193.0,97.0,2018
1262.0,1018.0,209.0,2018
781.0,659.0,261.0,2018
0.0,0.0,0.0,2018
0.0,0.0,0.0,2018
19.0,43.0,12.0,2018
320.0,317.0,65.0,2018
30.0,24.0,9.0,2018
44.0,8.0,7.0,2018
87.0,62.0,28.0,2018
91.0,121.0,42.0,2018
0.0,0.0,0.0,2018
898.0,555.0,206.0,2018
510.0,222.0,200.0,2018
11.0,33.0,11.0,2018
450.0,320.0,158.0,2018
52.0,40.0,19.0,2018
922.0,627.0,375.0,2018
20.0,110.0,0.0,2018
0.0,0.0,0.0,2018
1645.0,1161.0,482.0,2018
0.0,0.0,0.0,2018
50.0,16.0,0.0,2018
1573.0,1756.0,517.0,2018
52.0,23.0,0.0,2018
19.0,0.0,0.0,2018
0.0,29.0,0.0,2018
177.0,211.0,60.0,2018
115.0,105.0,32.0,2018
30.0,12.0,10.0,2018
44.0,39.0,11.0,2018
727.0,491.0,231.0,2018
